id,name,country,price,count
99,XPegTJ,"Korea, Democratic People""S Republic of",6065.31,465
100,SbBWpsHJsnkV,Mauritius,6074.96,237
101,BvkoKvdlj,Djibouti,6670.79,461
102,OLcyQDvUWr,Swaziland,7324.1,499
103,nsBIVxN,Cocos (Keeling) Islands,9973.46,763
104,uuD,Belize,5220.74,1051
105,oArn,Viet Nam,6459.82,733
106,HAQSAJdYNNvv,United States,462.37,592
107,DTbMshwz,"Lao People""S Democratic Republic",7837.02,911
108,MdxTXfaa,Romania,8664.69,863
109,NPsq,Slovenia,1117.84,992
110,cxWFjYljOR,Nauru,1267.05,94
111,dDYk HMoEV,Peru,4709.01,767
112,cQbYRsIkQB,Oman,6163.71,761
113,pfUybK,Poland,1342.12,116
114,PVVXkRGBJ,Netherlands Antilles,7321.49,340
115,szGvAAEyWqT,Lithuania,3965.04,962
116,kOE,Seychelles,9963.11,459
117,kyMJdSqRcIZo,"Virgin Islands, British",5972.14,315
118,YDlkMrOM,Jersey,4345.04,1093
119,OyuMHDxozE,Panama,586.86,851
120,GFr,Chile,7127.31,392
121,mqHmHVyRr,Israel,7203.89,550
122,c iF,Solomon Islands,2068.86,399
123,rWsReAxAUgn,French Polynesia,4075.38,59
124,BbzaWfrwa,Liechtenstein,294.4,849
125,Aywtpnlv c,Cook Islands,1666.36,596
126,IfkFr,Greenland,3155.74,528
127,NEaYeMQlg,Nigeria,6556.34,220
128,BFXBR,Switzerland,8940.18,22
129,UCHoGNl,Madagascar,839.76,856
130,hag brrxgY,Guatemala,8455.27,586
131,VcbZWCCLqzZv,Tuvalu,9432.88,1088
132,wNFzJl,Serbia and Montenegro,7343.13,1040
133,hHAUVUMEAcYY,Bermuda,8124.81,931
134,uXzkblbYKeQ,Kenya,8211.42,1017
135,SHjkUqpW,Uzbekistan,4406.27,451
136,noN Pv,Brazil,2866.32,804
137,OnND I gLH,Luxembourg,6235.43,67
138,zMTORTO,Philippines,5934.94,485
139,qpfVkT,Switzerland,8331.23,303
140,DzmOs,Kuwait,4897.66,112
141,"zbeR ",Slovenia,9754.4,279
142,OUefZou,Saudi Arabia,3648.27,232
143,tjlbjQcY,Somalia,9628.15,463
144,JeCzDQiC,Faroe Islands,8415.68,454
145,QkRhSFGu,Oman,4338.1,792
146,BduZqnpCg,Ireland,5682.11,810
147,OiiMbAZiy,Colombia,231.77,925
148,fsGTmTWYYDm,Burkina Faso,5559.16,947
149,WTfBElr,Guinea,7831.33,985
150,KaydtZGG,"Lao People""S Democratic Republic",5146.33,26
151,hhgL,Dominica,8946.65,903
152,eujSlcNKC,Sudan,3490.41,1024
153,ovAh,New Zealand,9786.79,537
154,MnDlpXMqXD,Uganda,5811.12,241
155,NwIBPk,French Polynesia,8960.54,363
156,oTVXeTnnCS,China,835.63,680
157,rnJ,Heard Island and Mcdonald Islands,6646.32,120
158,oPIOjCG,Malta,5122.66,333
159,VAiaSJloRxl,Liechtenstein,129.84,861
160,OxUtbfaiFfiA,Bangladesh,346.96,199
161,hftF,United Kingdom,956.88,538
162,azrFPyi,Angola,8611.26,323
163,GDNypXkNz,Saint Pierre and Miquelon,1808.57,348
164," ncKDjupDYr",Cayman Islands,1005.75,573
165,wtVNNkxc,Åland Islands,3906.16,528
166,w iZIQwQa,Djibouti,3412.49,733
167,IncXYquzCN,"Macedonia, The Former Yugoslav Republic of",9163.58,844
168,kOI,New Caledonia,5993.96,472
169,xOir,Guinea,7076.22,377
170,OFUrkwBvur,Aruba,3759,226
171,QmpgPOEdh,Guinea-Bissau,2082.9,1067
172,lukQzTbpNBR,Cook Islands,9026.37,1088
173,LVT,New Caledonia,8278.23,41
174,AAuT,Guyana,1545.35,968
175,YSOz,Peru,7042.28,139
176,CBhAp,Myanmar,7882,118
177,AYvWQKdAX,Spain,3272.07,774
178,noiO,Malta,6559.19,467
179,FTeWDju,Japan,7544.03,346
180,vlYe,Uzbekistan,537.11,1086
181,IKw,Martinique,7600.11,344
182,AuC,Argentina,738.71,50
183,eQXOw,Kiribati,5219.75,52
184,CsDtBhEuYn,Turkey,4478.87,139
185,VYIdXnZ,Wallis and Futuna,4796.74,672
186," Us W",Tonga,4316.71,776
187,qTRwpX,Finland,8686.34,498
188,CPZzk,Lesotho,1455.43,479
189,VCesFWN,Turks and Caicos Islands,8858.78,661
190,PoPgog,Cameroon,1192.89,426
191,EccAZhRePc,Dominican Republic,8890.14,833
192,taagehUn,Guyana,5513.97,838
193,AMVQKrQc,Israel,6909.78,848
194,KUdDFjQJ,Kenya,3767.29,468
195,PHx,New Zealand,4849.96,500
196,KgEykOKm,Holy See (Vatican City State),1656.96,819
197,qRikcZ,Puerto Rico,4363.03,526
198,nijk,Italy,7204.26,213
199,"FZxzVqIDsQL ",Iceland,6417.55,828
200,IAjosIWWsI,Albania,9107.13,6
201,PeJAadm,Kiribati,1637.03,1032
202,XdAGLiAPOetQ,Kyrgyzstan,2144.64,174
203,RiO yIBDwTj,Bhutan,9758.85,437
204,WrCoCRMn,Seychelles,4158.25,803
205,qWu wRMjMQO,Tunisia,5885.82,342
206,ewRqQ,Mozambique,1204.17,409
207,EgMLDmyyhxt,Djibouti,285.7,877
208,ONUvgIUGkt,Palau,632.41,173
209,wTXygWoWIAD,Macao,1393.54,292
210,cqV,Netherlands,3812.91,198
211,mPLX,Kyrgyzstan,661.76,637
212,FdypF,Anguilla,1680.4,112
213,nLxVkakqhPp,Madagascar,4083.57,20
214,aZKTxXWepIO,Saudi Arabia,5364.62,275
215,Onige,Vanuatu,2746.48,1066
216,GSCEuGOqop,Guatemala,5128.2,82
217,ZOIeC,New Zealand,1123.64,219
218,gDCyL,Germany,7422.17,112
219,UxMyHKePyS,Viet Nam,7068.95,1016
220,YCUNvbqubag,Tokelau,2582.19,178
221,qLvKsMfAeX,United Arab Emirates,9415.52,757
222,GnjiItRL,Croatia,8699.23,305
223,eiBzpAkOlJsM,Netherlands,9438.37,514
224,UVslsF uwnjC,Bangladesh,798.83,168
225,jzmSFuHNg,Lebanon,8010.03,397
226,sRJBYByZJ,Bahamas,9857.52,491
227,wgPwonHfz,Sierra Leone,2936.79,341
228,mQpB,Mauritania,9189.11,979
229," IomEseYcb",Greenland,5853.56,505
230,faozx,Jordan,5077.57,334
231,IjLvGUqXStp,Turks and Caicos Islands,5562.08,822
232,PrntGozaAc,United Arab Emirates,9116.39,6
233,FTxNBZeY,AndorrA,1715.18,186
234,Gdg rxYpO,Barbados,2979.63,860
235,jgXZRUBibT,"Cote D""Ivoire",6158.03,974
236,oPyRcf,Somalia,2385.07,397
237,OYPOWAjNMnP,Dominica,3054.81,132
238,ByyklejSq,Guam,2088.14,394
239,KyQlgu,Guernsey,5124.39,362
240,F ga,Japan,2370.05,729
241,FzwJG,"Korea, Republic of",4254.38,104
242,qHS,Guam,9774.5,933
243,NdOQlz,Saudi Arabia,6425.56,23
244,lAhW,Cambodia,1525.02,488
245,Bvch,Heard Island and Mcdonald Islands,9785.16,246
246,bXT,Cape Verde,4978.66,22
247,RwzUzEX FXF,Venezuela,5157.11,805
248,UVbRcWUjjLkW,Viet Nam,1557.58,91
249,tPg KuXupZ,Botswana,5526.73,330
250,jSojBK,Ethiopia,5023.14,818
251,zXvoLMyRJG,Malaysia,4900.72,970
252,LDIbf,Antigua and Barbuda,5438.13,861
253,uuEzVQvcpcKt,Slovakia,7895.31,835
254,CYLaQnqsKjQE,Finland,8486.83,690
255,VGFdDk,"Virgin Islands, British",2469.52,1026
256,mzivS,Christmas Island,1395.07,795
257,aNoTdScGUN,Australia,6939.95,24
258,MmHjbUffAk,Greece,3575.28,434
259,xhridyTl,Samoa,1563.21,528
260,HbFvTDrUhLy,Trinidad and Tobago,207.27,529
261,VjOZXDYNM,Morocco,708.65,961
262,wNLzKwW,Papua New Guinea,4680.28,416
263,"qkXQN t ",Bulgaria,6096.82,828
264,QDlfN,Greenland,7271.76,786
265,rEGnvYkStjgd,"Cote D""Ivoire",4302.5,299
266,kodzIIBLPQ,Wallis and Futuna,2572.03,55
267,bieI,Gibraltar,9416.23,472
268,FxGwWzJ,Georgia,8364.74,932
269,ZZHd rG,Mauritania,9075.49,951
270,YknQVmCuc,Bahamas,5444.92,1081
271,NeIPyIoIUx,"Korea, Democratic People""S Republic of",5500.85,410
272,wSB,Panama,8489.32,148
273,"uYqB ","Virgin Islands, U.S.",6800.66,737
274,hrmswN,Lebanon,370.34,496
275,fOqAdUjxrx,Trinidad and Tobago,6987.7,471
276,JGth,Mauritius,5440.62,568
277,mxbtdHwocz,Turkey,7144.17,718
278,XpHV Ph,Northern Mariana Islands,6356.69,448
279,tOvrcBzZ,Gambia,5235.95,997
280,VHRg,Antarctica,7961.4,705
281,NPWPW,Gabon,3377.22,154
282,IOZxJQsLLFb,Jordan,5063.45,554
283,nLuO,Algeria,9949.36,890
284,UwvFMoaYkV,Chad,3796.54,175
285,gzxYeO ZMAKm,Sierra Leone,1864.66,14
286,Gwcargp,South Georgia and the South Sandwich Islands,4926.93,624
287,aGkRxChILJ,Chad,1658.59,287
288,aryti VW,Mozambique,5860.98,257
289,oZf,Equatorial Guinea,7881.49,1097
290,QpIfJb,Nepal,7612.71,854
291,NAG,Guam,342.98,362
292,iTphoKdkzAm,Senegal,749.29,192
293,iYyGHnaFJ,Saint Vincent and the Grenadines,9376.08,760
294,iTimPuL,Cocos (Keeling) Islands,3970.67,492
295,MSIMxdgKoA,United Arab Emirates,5906.41,202
296,eaw a,Italy,9705.18,995
297,Llmbokm,Bosnia and Herzegovina,591.6,857
298," xBHeO",Gabon,339.11,238
299,XCLbPAshw,Gambia,8120.05,353
300,MyOYMEkIFk,Burkina Faso,6370.72,265
301,gfDknWzHeEJ,Syrian Arab Republic,1287.36,635
302,pgfe,Montserrat,6777.81,136
303,mJOSTqFpyRQ,Wallis and Futuna,7622.89,845
304,rfqWQbH,"Tanzania, United Republic of",1715.7,568
305,xLQc,Armenia,1920.23,973
306,wHyrTihNy,Comoros,1428.29,381
307,JECBHSc,New Zealand,9634.67,128
308,IxHiDMyvEYkR,French Guiana,602.8,191
309,przEBXsVOF,Belarus,6625.59,293
310," LvFXfyxv",Cambodia,3178.33,209
311,sklNyJa,Gibraltar,9974.96,1046
312,oKSRqx,Armenia,3868.18,304
313,fdOx,Zimbabwe,2915,826
314,VIIFIlf,Ethiopia,9714.04,368
315,oBmj,Antarctica,6166.38,284
316,wZajigEkzHVF,Bangladesh,2613.03,1041
317,zytHWqKfXC,"Virgin Islands, U.S.",5553.88,105
318,vPcqItmm,Cayman Islands,6284.23,391
319,weIIkceR g,Netherlands Antilles,5393.43,390
320,ZabMWcBUdJ,Åland Islands,9868.85,142
321,sVgqCfbwVxRw,Norway,7161.62,74
322,tNjuhxDRqVhC,Nigeria,5406.54,601
323,VfGRKxsqnZfv,Saudi Arabia,2662.12,6
324,rNKkGorTtr,Zambia,2658.51,36
325,gkqTdO,Algeria,4174.93,200
326,apgLu,Belgium,2556.12,732
327,qgCVLhKwcFYR,Czech Republic,2880.79,189
328,bk zYxghM,Egypt,975.45,1069
329,wvxedmve,Botswana,4103.96,191
330," YNVwfj",Georgia,1907.51,780
331,LSFEDfVfCbSN,Myanmar,115.31,158
332,CqK xlJ,Israel,5427.28,431
333,eiWtwuqzJwi,Congo,1065.9,663
334,lnKeVX,"Palestinian Territory, Occupied",1165.04,761
335,OBU,Gambia,6660.94,115
336,uPIylXala,United Arab Emirates,8896.35,40
337,tLCb vQXL,Kenya,2690.15,966
338,YjKzmBuGySlK,"Cote D""Ivoire",694.71,770
339,TYLpDZ,Thailand,7162.76,315
340,tERa,Spain,7000.9,931
341,WNJbJ,Viet Nam,7745.45,120
342,lAkV,Congo,4554.46,856
343,hceUKt,Viet Nam,8268.78,454
344,xgrIGrUsiu,Sao Tome and Principe,3338.16,267
345,BRAFXIK PpF,Nigeria,6567.9,744
346,DNdsYWLgN,"Korea, Republic of",3492.69,1071
347,UfSnZr,Nauru,9159.01,455
348,OkXpM,Guinea-Bissau,5683.23,826
349,RFDpls,"Cote D""Ivoire",1318.63,583
350,ykBebQVYz,Togo,7178.82,179
351,YohBwlOFtkxb,Mauritania,688.05,68
352,meerGOJrd,Antigua and Barbuda,4028.42,250
353,XVTnEcUnXFao,Jersey,4731.18,324
354,WlvRaETBdVQ,Martinique,8133.29,795
355,BJoiexbSbII,Papua New Guinea,8007.4,977
356,sBjMqB,Ecuador,7407.52,1079
357,Dhje,Mayotte,298.6,786
358,DDCFXKNTt,Turks and Caicos Islands,5150.82,560
359,VgZvNe,Slovakia,2393.82,1094
360,rogXEd,Samoa,7283.01,326
361,mVF,Bolivia,7394.37,61
362,XHaFjmzza,Uganda,7577.61,918
363,IzsOsfuAlD,Ethiopia,2696.87,866
364,flwNWkNs,Macao,1379.42,989
365,WJIc,Somalia,4901.64,375
366,BTjP,Cocos (Keeling) Islands,9932.58,328
367,Vijf,Gabon,6739.27,715
368,uFRrbwh,Gibraltar,2202.65,388
369,aplbDEBo,Albania,6834.19,393
370,CZVlTIBLY,Lebanon,5956.11,160
371,cQAqfaXpCC,Austria,6195.72,1018
372,PTcytXXKo,Iceland,6771.32,562
373,oSJAoBMbgMJy,Dominican Republic,7678.58,1088
374,xtTvG,Saint Vincent and the Grenadines,3532,289
375,cinqolMXCJKZ,Cocos (Keeling) Islands,8484.32,160
376,uOZI,Bangladesh,8440.57,866
377,wCnPW,Macao,9781.22,66
378,TcmnIUTIzGYh,AndorrA,1593.89,186
379,uUZlQDXeo,Malta,8963.01,601
380,VKrmzBJTDpv,Åland Islands,4589.53,1090
381,dDMnHLFgSzqy,Latvia,7439.52,666
382,eRBB,Iceland,4748.61,62
383,luL,"Macedonia, The Former Yugoslav Republic of",8944.04,1052
384,iA UmtnNRM,Armenia,9291.43,132
385,AJiVUEVgOdPU,Nicaragua,7037.43,1044
386,MujZfiRFr,Kazakhstan,6207.77,758
387,CDdFz,Saint Vincent and the Grenadines,8892.72,1022
388,YDYnxbvRGHtE,Australia,8814.8,145
389,BDdEiXMp,"Palestinian Territory, Occupied",5224.6,507
390,EeMydPIo,Niger,9950.08,678
391,UFJfzydZ,Saint Helena,445.32,286
392,llBDjVtVV,Wallis and Futuna,5935.22,927
393,PckAqEeInDC,Nicaragua,2470.16,593
394,hBjRPq,Paraguay,1280.2,908
395,LdaJfyr,Myanmar,3207.18,680
396,KvLY,Colombia,8369.73,103
397,oJbvpHs,Azerbaijan,6343.32,249
398,CrwMWEsiC,Dominican Republic,7483.72,33
399,BlOhiNRjxBMb,Somalia,6337.57,759
400,uZssoVgwPbs,Wallis and Futuna,692.28,774
401,CKEoaaa,Estonia,9803.11,54
402,NfWYWqAoxPo,Mongolia,9601.89,817
403,JliBZSgU hOC,"Congo, The Democratic Republic of the",1719.75,833
404,FPJzA,Liberia,5970.48,569
405,uEjsRiam,Seychelles,562.95,703
406,WNoQl,Sao Tome and Principe,8649.72,629
407,bacwC,New Zealand,9973.33,1043
408,VhzDuspHoU,Indonesia,9231.37,323
409,MtVJ,Tunisia,7857.67,947
410,sbrcuRJ,Papua New Guinea,8345.77,624
411,Oli,Lithuania,2243.31,850
412,CodSaPZFC,Qatar,3383.19,206
413,neE,Guam,4921.41,473
414,MLZUGPG,Seychelles,6108.63,439
415,XiynRxFyvX,Liberia,6525.62,499
416,KWqASMFc,Tuvalu,869.4,117
417,ckh,Dominica,696.68,1023
418,PhNlzdLiSfW,Cape Verde,2607.94,658
419,sod SnrrgxbK,Norway,6966.3,1001
420,fn U,Aruba,3365.15,668
421,xQe,Bahamas,4952.39,330
422,xrXusamqDzH,Samoa,6858,908
423,QRGwkc,Mauritania,7998.8,89
424,AdbgFZDN,"Taiwan, Province of China",4189.59,378
425,KDhEQksTI,Cook Islands,6299.64,639
426,xDBx,"Macedonia, The Former Yugoslav Republic of",4756.81,92
427,EGNnRdd,Slovakia,811.4,592
428,b w,Ireland,5464.12,146
429,CBSIoI,Guinea,6021.83,149
430,KFh,Bermuda,2272.47,962
431,PivgKFobox,Finland,1028.24,908
432,"DhPhiE ",Latvia,2867.25,788
433,zjrQBx,Georgia,8836.56,159
434,kuHoHP,Uruguay,3242.83,505
435,ddhILKHkDds,Czech Republic,5935.85,938
436,zIQU HCLWFr,Niue,4402.82,456
437,jQWhtybnA,Latvia,1320.82,836
438,dItBeKfgsW,Latvia,1397.78,23
439,yszgYxUV,Antarctica,3721.72,1001
440,MbAIBpC t,Saint Helena,7853.98,535
441,YXg GPQRB,San Marino,4166.93,332
442,dOUeVCzj,Guadeloupe,5615.7,1005
443,EQGYVENYvQI,"Macedonia, The Former Yugoslav Republic of",9346.02,68
444,qSc,Romania,8378.69,931
445,PqYOHxmMz,Brazil,3319.01,503
446,pFEMGam,Spain,557.21,569
447,Mmb,Russian Federation,3479.16,340
448,SjUuhcYYHDyE,Guinea,9213.99,519
449,gxQprV,Spain,1719.04,549
450,EyrtGgDb,Uganda,5231.03,403
451,QZEVdDNk,Madagascar,9783.84,288
452,FvjNhSHmTy,Chad,2773.07,54
453," LbKlLOBmC",Jordan,2682.95,984
454,Day,Somalia,252.77,368
455,xoWSba,Myanmar,9711.09,670
456,zJVpX,Gambia,8949.62,1048
457,UbeW,Sao Tome and Principe,6399.28,1060
458," CX",Israel,1517.59,440
459,SIZIurzFyXh,Macao,5350.36,806
460,uJXSeTgrV,Cyprus,7229.74,68
461,pEwC,Guinea-Bissau,5280.68,1097
462,rsWE,Mongolia,2491.44,873
463,eTmKrahEB,Netherlands,6824.23,152
464,sldi,Kiribati,9215.8,434
465,zQyZwIN,Latvia,4896.49,536
466,CrRdv g,Latvia,4702.32,473
467,PVzkMdPMqZ,Lithuania,7943.4,666
468,xsRwp,Benin,4820.2,452
469,jRpp,Tokelau,2535.05,696
470,Y sKqikld,Antarctica,3660.96,558
471,kdUpEVpzJw,Barbados,8439.24,1000
472,YVQzTvUj,Zambia,8052.54,323
473,psjWxAl,Guam,757.47,977
474,TotSMHbdeij,Greece,8230.14,227
475,OTGh,Antigua and Barbuda,929.07,623
476,HzEViv,Niger,2015.93,1042
477,dCH AQX,Saudi Arabia,6812.52,1055
478,D UkGIh,Singapore,732.77,584
479,uiw,Gambia,9302.4,9
480,jmEbE,Turks and Caicos Islands,1136,486
481,LlCCRey,Senegal,5467.41,678
482,XJRMt,Georgia,9330.14,31
483,lwHVnuUZVxQ,Saint Lucia,5071.5,77
484,GdfzlubEbnD,American Samoa,7260.06,759
485," WcBrf",Liechtenstein,9637.31,844
486,tUeSQJtyTux,Slovakia,9940.28,237
487,nZBTz,Greenland,4866.17,940
488,XlxWHCFOOJ,Norfolk Island,9338.53,912
489,HHbAomS E,Angola,2627.17,586
490,ujv,Ireland,9170.62,278
491,NgxDfMkqfn,Ethiopia,5665.28,850
492,FsSVK,Hungary,6309.02,334
493,orciSGVpshE,Dominican Republic,5590.74,784
494,HTcOc,"Palestinian Territory, Occupied",2387.38,428
495,SLuKuL,Bermuda,5297.81,334
496,aGUQb,Saint Helena,3604.31,909
497,"iCmgu ","Micronesia, Federated States of",517.87,1061
498,HnP,Saint Kitts and Nevis,8544.52,929
499,talUgmXMqc,Samoa,2979.59,930
500,wuRQQbwt,Germany,9329.11,745
501,dUHDUNOsWmnL,Tunisia,3191.4,474
502,QGT,Jamaica,965.07,638
503,"RMDr ",Saudi Arabia,2510.81,815
504,Lbvnd,Cameroon,4027.89,37
505,PVqtimsTjrY,Svalbard and Jan Mayen,3780.09,742
506,XuophpLzAF,Albania,6580.95,240
507,YAXPgStJy,Dominica,723.09,17
508,AQiRdFKHmm,Malawi,4368.77,192
509,nfW,Senegal,268.87,104
510,JREdoVIYI,Cuba,3797.77,203
511,TYwOoT,Australia,4366.4,124
512,RbfeUWVBCceV,Finland,8873.05,1012
513,qcL,Guyana,6385.16,349
514,RFESTVKKp,"Virgin Islands, British",1975.06,801
515,WKjoPrp,Honduras,2824.72,939
516,kEkVCaR,Greenland,8167.67,288
517,OSkpl,Honduras,7377.54,1011
518,QKzxtWxQ,Kiribati,8246.95,522
519,Vwvxytqke,Papua New Guinea,2307.09,360
520,PPNAtRpN,"Virgin Islands, British",1257.44,1052
521,qeiwVjKf,Mauritius,6887.71,862
522,pSjTxzavXC,"Lao People""S Democratic Republic",2575.08,332
523,EyGiq,"Micronesia, Federated States of",8678.36,746
524,rjIBJd,Germany,8538.92,259
525,tNHHcabZ,British Indian Ocean Territory,8025.01,183
526,uybwpoku,Sudan,2597.11,353
527,BEXlrMvbOmPR,Uganda,7059.86,1082
528,WDnsHmLm,Finland,1378.27,28
529,WXmAGLaCrJ,Saint Helena,2292.48,448
530,gDc,Lebanon,146.94,190
531,WORNjUtbyt,Lebanon,717.18,202
532,TzoMSnN,Sri Lanka,5392.03,646
533,uWIKQVEwsx,Slovakia,2903.54,679
534,hvzA,Spain,8528.13,1018
535,bNFHgF,Mozambique,4691.58,1073
536,ZtOBXtcJwJ,Switzerland,7142.33,300
537,ZyJcMtjRqEI,Saint Vincent and the Grenadines,1968.66,844
538,ZWO,Guyana,9661.74,670
539,gytrLEkWd,Algeria,8385.35,902
540,CBFKimVta,New Caledonia,9940.53,939
541,izgo,Zimbabwe,8329.6,969
542,nRFnYRa  t,Saint Pierre and Miquelon,2444.5,131
543,OTTWShaN,Panama,3786.39,1076
544,pTEBCmiJKP,Ireland,9839.29,640
545,HyxXsEBYQooq,"Micronesia, Federated States of",7658.77,899
546,JyHJToDAt,"Moldova, Republic of",7727.43,563
547,xmxGIBRXZ,Lebanon,6930.91,1074
548,GxA SKImunDK,Isle of Man,6921.43,857
549,rPHONWAN,Somalia,9072.85,725
550,bKexTvpsPCmV,Canada,407.64,365
551,sHb,Lebanon,1430.18,229
552,fPGjXYRaQd,Tuvalu,4905.94,55
553,fIZCCQB,Palau,1788.69,196
554,GKl,Guyana,5824.4,413
555,Cwgep,Finland,7543.51,410
556,NTdWK,"Virgin Islands, U.S.",2754.38,572
557,EtuZ,Sierra Leone,9328.2,1073
558,IOcfWkO,Uzbekistan,2997.46,526
559,EMMAWbrtwf,Fiji,669.65,339
560,wjNSlgciX,Saudi Arabia,2476.26,526
561,ncgQLBvo,Honduras,7662.47,203
562,ZgUPUlyt,Malta,8708.54,563
563,YPOBC,Saint Lucia,4448.96,1099
564,ZrIzlrkC,Luxembourg,3137.61,683
565,spbVMApExzHr,Azerbaijan,6029.13,55
566,YwbWIlhwEgq,Samoa,5677.13,596
567,YgwMLLAluXF,United Kingdom,986.32,659
568,OvbvxEKPYA,Israel,878.38,227
569,INmBgxibV,Ethiopia,3385.85,441
570,OaLOgxzBSi,Peru,5726.96,337
571,eckireurtx,French Guiana,271.05,180
572,oJlhu,Nepal,8548.66,831
573,zz dSTwWrs,Philippines,791.31,588
574,feZ OxPh,Ethiopia,8634.57,1025
575,WAAlnEln,Saint Kitts and Nevis,8139.03,316
576,kDoODKAak,Solomon Islands,6853.53,1063
577,ktCoxnpmono,Latvia,888.7,206
578,QKa,Martinique,7924.64,280
579,ZyzFq,Sri Lanka,9530.54,544
